clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
262,Rodrigo Caio Coquette Russo,rodrigo-caio,Rodrigo Caio,73800,21,3,5,0,8.92,0,2.78,9,0,9,0,1,0,2,0,0,0,3,16,0,0,1,3,0,0,0
262,César Bernardo Dutra,cesar,César,78086,21,1,6,0,3.38,0,1.2,4,0,0,0,0,0,2,0,0,2,0,12,0,0,0,0,0,0,0
262,Everton Augusto de Barros Ribeiro,everton-ribeiro,Everton Ribeiro,51772,21,4,7,0,8.21,0,4.48,16,0,17,0,3,0,0,0,0,0,34,126,2,0,6,9,5,1,0
262,Gustavo Henrique Vernes,gustavo-henrique,Gustavo Henrique,78248,21,3,3,-3.8,4.39,-0.3,1.24,12,0,13,1,3,0,2,0,0,0,5,35,0,0,0,3,1,0,0
262,Willian Souza Arão da Silva,willian-arao,Willian Arão,78478,21,4,7,0.4,7.3,-0.19,1.22,18,0,22,0,3,0,0,0,0,0,7,66,0,0,2,7,0,0,0
262,Thiago Maia Alencar,thiago-maia,Thiago Maia,89637,21,4,5,8.6,6.99,1.46,2.72,12,0,26,0,4,0,0,0,0,0,7,66,2,1,2,3,0,0,0
262,Diego Alves Carreira,diego-alves,Diego Alves,38509,21,1,7,0,10.72,0,2.22,5,0,0,0,0,1,1,6,0,6,2,19,0,0,0,0,0,0,0
262,Leonardo Pereira,leo-pereira,Léo Pereira,83528,21,3,7,1.1,4.95,-0.23,2.29,11,0,15,0,1,0,1,0,0,0,9,47,0,0,2,2,1,0,0
262,Renê Rodrigues Martins,rene,Renê,78445,21,2,7,-0.9,4.82,-0.38,2.39,8,0,7,0,1,0,2,0,0,0,5,67,0,0,0,1,0,0,0
262,Gerson Santos da Silva,gerson,Gerson,89256,21,4,7,7.4,10.08,0.66,2.94,16,0,34,0,5,0,0,0,0,0,61,68,1,0,5,9,0,2,0
262,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,78435,21,5,7,3.3,6.47,-0.65,2.2,15,0,17,0,2,0,0,0,0,0,9,81,1,0,9,13,1,2,0
262,Diego Ribas da Cunha,diego,Diego,38909,21,4,6,0,6.55,0,2.43,12,0,17,0,3,0,0,0,0,0,31,44,2,0,2,4,1,0,0
262,Filipe Luís Kasmirski,filipe-luis,Filipe Luís,38750,21,2,6,0,6.55,0,3.55,15,0,20,1,3,0,3,0,0,0,17,129,1,1,2,1,1,1,0
262,Pedro Rocha Neves,pedro-rocha,Pedro Rocha,90302,21,5,6,0,3.82,0,1.33,3,0,2,0,0,0,0,0,0,0,1,15,1,0,0,0,0,0,0
262,Pedro Guilherme Abreu dos Santos,pedro,Pedro,94583,21,5,5,0,5.79,0,4.48,16,0,16,0,1,0,0,0,0,0,16,34,0,0,14,8,7,4,1
262,Gabriel Batista de Souza,gabriel-batista,Gabriel Batista,98333,21,1,6,0,1.56,0,-0.9,3,0,0,0,0,0,0,2,0,5,1,12,0,0,0,0,0,0,0
262,Lincoln Corrêa dos Santos,lincoln,Lincoln,100065,21,5,6,2.7,3.78,0.27,1.88,12,0,2,0,1,0,0,0,0,0,1,15,1,0,8,0,1,0,0
262,Matheus Soares Thuler,thuler,Thuler,100125,21,3,7,0,2.12,0,-0.6,3,0,1,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0
262,Michael Richard Delgado de Oliveira,michael,Michael,99392,21,5,6,0.5,5.32,-0.16,1.17,12,0,13,0,1,0,0,0,0,0,7,38,1,0,3,9,0,0,0
