clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
262,Rodrigo Caio Coquette Russo,rodrigo-caio,Rodrigo Caio,73800,13,3,6,0,8.92,0,2.78,9,0,9,0,1,0,2,0,0,0,3,16,0,0,1,3,0,0,0
262,Willian Souza Arão da Silva,willian-arao,Willian Arão,78478,13,4,7,1,8.25,-0.45,1.89,11,0,13,0,1,0,0,0,0,0,5,44,0,0,1,5,0,0,0
262,Gustavo Henrique Vernes,gustavo-henrique,Gustavo Henrique,78248,13,3,2,0,5.46,0,1.96,5,0,3,0,0,0,1,0,0,0,2,13,0,0,0,2,0,0,0
262,Diego Alves Carreira,diego-alves,Diego Alves,38509,13,1,6,0,10.72,0,2.22,5,0,0,0,0,1,1,6,0,6,2,19,0,0,0,0,0,0,0
262,Filipe Luís Kasmirski,filipe-luis,Filipe Luís,38750,13,2,7,2.1,5.77,-0.79,3.01,9,0,12,1,2,0,2,0,0,0,12,66,0,0,2,1,1,1,0
262,Diego Ribas da Cunha,diego,Diego,38909,13,4,7,-0.5,4.15,-0.35,0.04,8,0,11,0,2,0,0,0,0,0,15,15,0,0,0,1,0,0,0
262,César Bernardo Dutra,cesar,César,78086,13,1,6,0,3.38,0,1.2,4,0,0,0,0,0,2,0,0,2,0,12,0,0,0,0,0,0,0
262,Rodrigo Muniz Carvalho,rodrigo-muniz,Rodrigo Muniz,107112,13,5,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,João Pedro Vilardi Pinto,pepe,Pepê,101573,13,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Everton Augusto de Barros Ribeiro,everton-ribeiro,Everton Ribeiro,51772,13,4,6,8.3,8.77,1.15,3.78,11,0,11,0,2,0,0,0,0,0,21,82,0,0,4,5,3,0,0
262,Domènec Torrent Font,domenec-torrent,Domènec Torrent,109505,13,6,7,3.99,9.03,0.24,3.54,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Ramon Ramos Lima,ramon,Ramon,101597,13,2,6,0.5,1.56,0.02,0.25,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
262,Gabriel Barbosa Almeida,gabriel,Gabriel,83257,13,5,5,0,13.46,0,6.96,9,0,3,0,2,0,0,0,0,0,10,55,0,1,11,15,5,7,0
262,Giorgian Daniel de Arrascaeta Benedetti,arrascaeta,Arrascaeta,87863,13,4,6,5.9,18.58,0.04,6.36,9,0,10,0,0,0,0,0,0,0,10,97,2,1,7,7,3,0,0
